名次 姓名 语文 数学 英语 物理 化学 生物 政治 历史 地理 平均 总分
0 平均分 69.1 70.7 68.53333333333333 69.6 72.0 69.4 60.43333333333333 71.0 74.8 69.5074074074074 625.5666666666667
1 小沈 94.0 95.0 72.0 86.0 78.0 78.0 不及格 95.0 96.0 81.88888888888889 737.0
2 小郑 84.0 93.0 不及格 94.0 86.0 71.0 69.0 81.0 71.0 78.66666666666667 708.0
3 小朱 97.0 91.0 88.0 86.0 86.0 不及格 61.0 不及格 82.0 77.88888888888889 701.0
4 小施 88.0 74.0 不及格 不及格 78.0 87.0 96.0 88.0 90.0 76.33333333333333 687.0
5 小何 86.0 不及格 86.0 不及格 76.0 92.0 79.0 95.0 不及格 73.66666666666667 663.0
6 小张 不及格 87.0 不及格 88.0 95.0 78.0 91.0 不及格 94.0 73.55555555555556 662.0
7 小赵 73.0 85.0 80.0 82.0 93.0 不及格 64.0 87.0 不及格 73.33333333333333 660.0
8 小金 78.0 84.0 77.0 不及格 79.0 82.0 不及格 74.0 94.0 73.33333333333333 660.0
9 小华 不及格 85.0 85.0 72.0 62.0 87.0 94.0 73.0 不及格 71.66666666666667 645.0
10 小陈 98.0 90.0 64.0 71.0 90.0 65.0 不及格 不及格 89.0 71.11111111111111 640.0
11 小魏 75.0 不及格 不及格 85.0 不及格 不及格 97.0 99.0 69.0 70.88888888888889 638.0
12 小卫 70.0 67.0 不及格 96.0 94.0 69.0 62.0 72.0 72.0 70.55555555555556 635.0
13 小孙 95.0 64.0 87.0 79.0 不及格 70.0 不及格 72.0 87.0 70.33333333333333 633.0
14 小吴 不及格 83.0 80.0 94.0 90.0 86.0 不及格 不及格 64.0 69.88888888888889 629.0
15 小吕 不及格 不及格 81.0 不及格 95.0 80.0 不及格 81.0 99.0 68.77777777777777 619.0
16 小杨 86.0 93.0 87.0 不及格 75.0 不及格 不及格 不及格 81.0 68.55555555555556 617.0
17 小钱 不及格 91.0 81.0 92.0 72.0 不及格 不及格 65.0 83.0 68.55555555555556 617.0
18 小秦 不及格 不及格 64.0 78.0 89.0 91.0 不及格 94.0 61.0 68.0 612.0
19 小孔 不及格 86.0 88.0 83.0 80.0 90.0 不及格 78.0 不及格 67.77777777777777 610.0
20 小曹 63.0 不及格 不及格 94.0 不及格 不及格 73.0 91.0 78.0 67.44444444444444 607.0
21 小楮 90.0 不及格 70.0 不及格 88.0 73.0 69.0 74.0 不及格 67.22222222222223 605.0
22 小严 不及格 71.0 77.0 不及格 91.0 79.0 90.0 不及格 61.0 66.88888888888889 602.0
23 小许 不及格 72.0 99.0 不及格 不及格 92.0 62.0 92.0 65.0 66.77777777777777 601.0
24 小蒋 82.0 不及格 63.0 70.0 不及格 67.0 不及格 69.0 92.0 66.66666666666667 600.0
25 小李 87.0 不及格 81.0 不及格 73.0 不及格 不及格 74.0 97.0 65.66666666666667 591.0
26 小冯 不及格 74.0 83.0 69.0 不及格 78.0 73.0 不及格 不及格 65.22222222222223 587.0
27 小尤 74.0 67.0 63.0 不及格 不及格 89.0 不及格 66.0 76.0 64.22222222222223 578.0
28 小韩 83.0 70.0 不及格 74.0 不及格 不及格 不及格 93.0 78.0 64.22222222222223 578.0
29 小王 75.0 83.0 不及格 不及格 72.0 不及格 不及格 64.0 80.0 不及格 525.0
30 小周 不及格 不及格 66.0 65.0 不及格 不及格 70.0 不及格 89.0 不及格 520.0
